question,fine
How far is it from Denver to Aspen ?,dist
"What county is Modesto , California in ?",city
Who was Galileo ?,desc
What is an atom ?,def
When did Hawaii become a state ?,date
How tall is the Sears Building ?,dist
George Bush purchased a small interest in which baseball team ?,gr
What is Australia 's national flower ?,plant
Why does the moon turn orange ?,reason
What is autism ?,def
What city had a world fair in 1900 ?,city
What person 's head is on a dime ?,ind
What is the average weight of a Yellow Labrador ?,weight
Who was the first man to fly across the Pacific Ocean ?,ind
When did Idaho become a state ?,date
What is the life expectancy for crickets ?,other
What metal has the highest melting point ?,substance
Who developed the vaccination against polio ?,ind
What is epilepsy ?,def
What year did the Titanic sink ?,date
Who was the first American to walk in space ?,ind
What is a biosphere ?,def
What river in the US is known as the Big Muddy ?,other
What is bipolar disorder ?,def
What is cholesterol ?,def
Who developed the Macintosh computer ?,ind
What is caffeine ?,def
What imaginary line is halfway between the North and South Poles ?,other
Where is John Wayne airport ?,other
What hemisphere is the Philippines in ?,other
What is the average speed of the horses at the Kentucky Derby ?,speed
Where are the Rocky Mountains ?,mount
What are invertebrates ?,def
What is the temperature at the center of the earth ?,temp
When did John F. Kennedy get elected as President ?,date
How old was Elvis Presley when he died ?,period
Where is the Orinoco River ?,other
How far is the service line from the net in tennis ?,dist
How much fiber should you have per day ?,count
How many Great Lakes are there ?,count
Material called linen is made from what plant ?,plant
What is Teflon ?,def
What is amitriptyline ?,def
What is a shaman ?,def
What is the proper name for a female walrus ?,animal
What is a group of turkeys called ?,animal
How long did Rip Van Winkle sleep ?,period
What are triglycerides ?,def
How many liters in a gallon ?,count
What is the name of the chocolate company in San Francisco ?,gr
What are amphibians ?,def
Who discovered x-rays ?,ind
Which comedian 's signature line is `` Can we talk '' ?,ind
What is fibromyalgia ?,def
What is done with worn or outdated flags ?,desc
What does cc in engines mean ?,def
When did Elvis Presley die ?,date
What is the capital of Yugoslavia ?,city
Where is Milan ?,city
What is the speed hummingbirds fly ?,speed
What is the oldest city in the United States ?,city
What was W.C. Fields ' real name ?,ind
"What river flows between Fargo , North Dakota and Moorhead , Minnesota ?",other
What do bats eat ?,food
What state did the Battle of Bighorn take place in ?,state
Who was Abraham Lincoln ?,desc
What do you call a newborn kangaroo ?,termeq
What are spider veins ?,def
What day and month did John Lennon die ?,date
What strait separates North America from Asia ?,other
What is the population of Seattle ?,other
How much was a ticket for the Titanic ?,money
What is the largest city in the world ?,city
What American composer wrote the music for `` West Side Story '' ?,ind
Where is the Mall of the America ?,other
What is the pH scale ?,def
What type of currency is used in Australia ?,currency
"How tall is the Gateway Arch in St. Louis , MO ?",dist
How much does the human adult female brain weigh ?,weight
Who was the first governor of Alaska ?,ind
What is a prism ?,def
When was the first liver transplant ?,date
Who was elected president of South Africa in 1994 ?,ind
What is the population of China ?,other
When was Rosa Parks born ?,date
Why is a ladybug helpful ?,reason
What is amoxicillin ?,def
Who was the first female United States Representative ?,ind
What are xerophytes ?,def
What country did Ponce de Leon come from ?,country
The U.S. Department of Treasury first issued paper currency for the U.S. during which war ?,event
What is desktop publishing ?,def
What is the temperature of the sun 's surface ?,temp
What year did Canada join the United Nations ?,date
What is the oldest university in the US ?,gr
Where is Prince Edward Island ?,other
"Mercury , what year was it discovered ?",date
What is cryogenics ?,def
What are coral reefs ?,def
What is the longest major league baseball-winning streak ?,other
What is neurology ?,def
Who invented the calculator ?,ind
How do you measure earthquakes ?,manner
Who is Duke Ellington ?,desc
"What county is Phoenix , AZ in ?",city
What is a micron ?,def
"The sun 's core , what is the temperature ?",temp
What is the Ohio state bird ?,animal
When were William Shakespeare 's twins born ?,date
What is the highest dam in the U.S. ?,other
What color is a poison arrow frog ?,color
What is acupuncture ?,def
What is the length of the coastline of the state of Alaska ?,dist
What is the name of Neil Armstrong 's wife ?,ind
What is Hawaii 's state flower ?,plant
Who won Ms. American in 1989 ?,ind
When did the Hindenberg crash ?,date
What mineral helps prevent osteoporosis ?,substance
What was the last year that the Chicago Cubs won the World Series ?,date
Where is Perth ?,other
What year did WWII begin ?,date
What is the diameter of a golf ball ?,dist
What is an eclipse ?,def
Who discovered America ?,ind
What is the earth 's diameter ?,dist
Which president was unmarried ?,ind
How wide is the Milky Way galaxy ?,dist
During which season do most thunderstorms occur ?,date
What is Wimbledon ?,def
What is the gestation period for a cat ?,period
How far is a nautical mile ?,dist
Who was the abolitionist who led the raid on Harper 's Ferry in 1859 ?,ind
What does target heart rate mean ?,def
What was the first satellite to go into space ?,product
What is foreclosure ?,def
What is the major fault line near Kentucky ?,other
Where is the Holland Tunnel ?,other
Who wrote the hymn `` Amazing Grace '' ?,ind
What position did Willie Davis play in baseball ?,title
What are platelets ?,def
What is severance pay ?,def
What is the name of Roy Roger 's dog ?,animal
Where are the National Archives ?,other
What is a baby turkey called ?,animal
What is poliomyelitis ?,def
What is the longest bone in the human body ?,body
Who is a German philosopher ?,ind
What were Christopher Columbus ' three ships ?,veh
What does Phi Beta Kappa mean ?,def
What is nicotine ?,def
What is another name for vitamin B1 ?,termeq
Who discovered radium ?,ind
What are sunspots ?,def
When was Algeria colonized ?,date
What baseball team was the first to make numbers part of their uniform ?,gr
What continent is Egypt on ?,other
What is the capital of Mongolia ?,city
What is nanotechnology ?,def
In the late 1700 's British convicts were used to populate which colony ?,other
What state is the geographic center of the lower 48 states ?,state
What is an obtuse angle ?,def
What are polymers ?,def
When is hurricane season in the Caribbean ?,date
Where is the volcano Mauna Loa ?,other
What is another astronomic term for the Northern Lights ?,termeq
What peninsula is Spain part of ?,other
When was Lyndon B. Johnson born ?,date
What is acetaminophen ?,def
What state has the least amount of rain per year ?,state
Who founded American Red Cross ?,ind
What year did the Milwaukee Braves become the Atlanta Braves ?,date
How fast is alcohol absorbed ?,speed
When is the summer solstice ?,date
What is supernova ?,def
Where is the Shawnee National Forest ?,other
What U.S. state 's motto is `` Live free or Die '' ?,state
Where is the Lourve ?,other
When was the first stamp issued ?,date
What primary colors do you mix to make orange ?,color
How far is Pluto from the sun ?,dist
What body of water are the Canary Islands in ?,other
What is neuropathy ?,def
Where is the Euphrates River ?,other
What is cryptography ?,def
What is natural gas composed of ?,substance
Who is the Prime Minister of Canada ?,ind
What French ruler was defeated at the battle of Waterloo ?,ind
What is leukemia ?,def
Where did Howard Hughes die ?,other
What is the birthstone for June ?,substance
What is the sales tax in Minnesota ?,other
What is the distance in miles from the earth to the sun ?,dist
What is the average life span for a chicken ?,period
When was the first Wal-Mart store opened ?,date
What is relative humidity ?,def
What city has the zip code of 35824 ?,city
What currency is used in Algeria ?,currency
Who invented the hula hoop ?,ind
What was the most popular toy in 1957 ?,product
What is pastrami made of ?,substance
What is the name of the satellite that the Soviet Union sent into space in 1957 ?,product
What city 's newspaper is called `` The Enquirer '' ?,city
Who invented the slinky ?,ind
What are the animals that don 't have backbones called ?,animal
What is the melting point of copper ?,other
Where is the volcano Olympus Mons located ?,other
Who was the 23rd president of the United States ?,ind
What is the average body temperature ?,temp
What does a defibrillator do ?,desc
What is the effect of acid rain ?,desc
What year did the United States abolish the draft ?,date
How fast is the speed of light ?,speed
What province is Montreal in ?,state
What New York City structure is also known as the Twin Towers ?,other
What is fungus ?,def
What is the most frequently spoken language in the Netherlands ?,lang
What is sodium chloride ?,def
What are the spots on dominoes called ?,termeq
How many pounds in a ton ?,count
What is influenza ?,def
What is ozone depletion ?,def
What year was the Mona Lisa painted ?,date
What does `` Sitting Shiva '' mean ?,def
"What is the electrical output in Madrid , Spain ?",other
Which mountain range in North America stretches from Maine to Georgia ?,mount
What is plastic made of ?,substance
What is the population of Nigeria ?,other
What does your spleen do ?,desc
Where is the Grand Canyon ?,other
Who invented the telephone ?,ind
What year did the U.S. buy Alaska ?,date
What is the name of the leader of Ireland ?,ind
What is phenylalanine ?,def
How many gallons of water are there in a cubic foot ?,count
What are the two houses of the Legislative branch ?,other
What is sonar ?,def
"In Poland , where do most people live ?",other
What is phosphorus ?,def
What is the location of the Sea of Tranquility ?,other
How fast is sound ?,speed
What French province is cognac produced in ?,state
What is Valentine 's Day ?,def
What causes gray hair ?,reason
What is hypertension ?,def
What is bandwidth ?,def
What is the longest suspension bridge in the U.S. ?,other
What is a parasite ?,def
What is home equity ?,def
What do meteorologists do ?,desc
What is the criterion for being legally blind ?,other
Who is the tallest man in the world ?,ind
What are the twin cities ?,city
What did Edward Binney and Howard Smith invent in 1903 ?,other
What is the statue of liberty made of ?,substance
What is pilates ?,def
What planet is known as the `` red '' planet ?,other
What is the depth of the Nile river ?,dist
What is the colorful Korean traditional dress called ?,termeq
What is Mardi Gras ?,def
Mexican pesos are worth what in U.S. dollars ?,money
Who was the first African American to play for the Brooklyn Dodgers ?,ind
Who was the first Prime Minister of Canada ?,ind
How many Admirals are there in the U.S. Navy ?,count
What instrument did Glenn Miller play ?,instru
How old was Joan of Arc when she died ?,period
What does the word fortnight mean ?,def
What is dianetics ?,def
What is the capital of Ethiopia ?,city
For how long is an elephant pregnant ?,period
How did Janice Joplin die ?,manner
What is the primary language in Iceland ?,lang
What is the difference between AM radio stations and FM radio stations ?,desc
What is osteoporosis ?,def
Who was the first woman governor in the U.S. ?,ind
What is peyote ?,def
What is the esophagus used for ?,reason
What is viscosity ?,def
What year did Oklahoma become a state ?,date
What is the abbreviation for Texas ?,abb
What is a mirror made out of ?,substance
Where on the body is a mortarboard worn ?,other
What was J.F.K. 's wife 's name ?,ind
What does I.V. stand for ?,exp
What is the chunnel ?,def
Where is Hitler buried ?,other
What are antacids ?,def
What is pulmonary fibrosis ?,def
What are Quaaludes ?,def
What is naproxen ?,def
What is strep throat ?,def
What is the largest city in the U.S. ?,city
What is foot and mouth disease ?,dismed
What is the life expectancy of a dollar bill ?,other
What do you call a professional map drawer ?,termeq
What are Aborigines ?,def
What is hybridization ?,def
What color is indigo ?,color
How old do you have to be in order to rent a car in Italy ?,period
What does a barometer measure ?,other
What color is a giraffe 's tongue ?,color
What does USPS stand for ?,exp
What year did the NFL go on strike ?,date
What is solar wind ?,def
What date did Neil Armstrong land on the moon ?,date
When was Hiroshima bombed ?,date
Where is the Savannah River ?,other
Who was the first woman killed in the Vietnam War ?,ind
What planet has the strongest magnetic field of all the planets ?,other
Who is the governor of Alaska ?,ind
What year did Mussolini seize power in Italy ?,date
What is the capital of Persia ?,city
Where is the Eiffel Tower ?,other
How many hearts does an octopus have ?,count
What is pneumonia ?,def
What is the deepest lake in the US ?,other
What is a fuel cell ?,def
Who was the first U.S. president to appear on TV ?,ind
Where is the Little League Museum ?,other
What are the two types of twins ?,other
What is the brightest star ?,other
What is diabetes ?,def
When was President Kennedy shot ?,date
What is TMJ ?,exp
What color is yak milk ?,color
What date was Dwight D. Eisenhower born ?,date
What does the technical term ISDN mean ?,exp
Why is the sun yellow ?,reason
What is the conversion rate between dollars and pounds ?,money
When was Abraham Lincoln born ?,date
What is the Milky Way ?,def
What is mold ?,def
What year was Mozart born ?,date
What is a group of frogs called ?,animal
What is the name of William Penn 's ship ?,veh
What is the melting point of gold ?,other
What is the street address of the White House ?,other
What is semolina ?,def
What fruit is Melba sauce made from ?,food
What is Ursa Major ?,def
What is the percentage of water content in the human body ?,perc
How much does water weigh ?,weight
What was President Lyndon Johnson 's reform program called ?,event
"What is the murder rate in Windsor , Ontario ?",perc
Who is the only president to serve 2 non-consecutive terms ?,ind
What is the population of Australia ?,other
Who painted the ceiling of the Sistine Chapel ?,ind
Name a stimulant .,dismed
What is the effect of volcanoes on the climate ?,desc
What year did the Andy Griffith show begin ?,date
What is acid rain ?,def
What is the date of Mexico 's independence ?,date
What is the location of Lake Champlain ?,other
What is the Illinois state flower ?,plant
What is Maryland 's state bird ?,animal
What is quicksilver ?,def
Who wrote `` The Divine Comedy '' ?,ind
What is the speed of light ?,speed
What is the width of a football field ?,dist
Why in tennis are zero points called love ?,reason
What kind of dog was Toto in the Wizard of Oz ?,animal
What is a thyroid ?,def
What does ciao mean ?,def
What is the only artery that carries blue blood from the heart to the lungs ?,body
How often does Old Faithful erupt at Yellowstone National Park ?,other
What is acetic acid ?,def
"What is the elevation of St. Louis , MO ?",dist
What color does litmus paper turn when it comes into contact with a strong acid ?,color
What are the colors of the German flag ?,color
What is the Moulin Rouge ?,def
What soviet seaport is on the Black Sea ?,other
What is the atomic weight of silver ?,weight
What currency do they use in Brazil ?,currency
What are pathogens ?,def
What is mad cow disease ?,def
Name a food high in zinc .,food
When did North Carolina enter the union ?,date
Where do apple snails live ?,other
What are ethics ?,def
What does CPR stand for ?,exp
What is an annuity ?,def
Who killed John F. Kennedy ?,ind
Who was the first vice president of the U.S. ?,ind
What birthstone is turquoise ?,substance
Who was the first US President to ride in an automobile to his inauguration ?,ind
How old was the youngest president of the United States ?,period
When was Ulysses S. Grant born ?,date
What is Muscular Dystrophy ?,def
Who lived in the Neuschwanstein castle ?,ind
What is propylene glycol ?,def
What is a panic disorder ?,def
Who invented the instant Polaroid camera ?,ind
What is a carcinogen ?,def
What is a baby lion called ?,animal
What is the world 's population ?,other
What is nepotism ?,def
What is die-casting ?,def
What is myopia ?,def
What is the sales tax rate in New York ?,other
Developing nations comprise what percentage of the world 's population ?,perc
What is the fourth highest mountain in the world ?,mount
What is Shakespeare 's nickname ?,ind
What is the heaviest naturally occurring element ?,substance
When is Father 's Day ?,date
What does the acronym NASA stand for ?,exp
How long is the Columbia River in miles ?,dist
What city 's newspaper is called `` The Star '' ?,city
What is carbon dioxide ?,def
Where is the Mason/Dixon line ?,other
When was the Boston tea party ?,date
What is metabolism ?,def
Which U.S.A. president appeared on `` Laugh-In '' ?,ind
What are cigarettes made of ?,substance
What is the capital of Zimbabwe ?,city
What does NASA stand for ?,exp
What is the state flower of Michigan ?,plant
What are semiconductors ?,def
What is nuclear power ?,def
What is a tsunami ?,def
Who is the congressman from state of Texas on the armed forces committee ?,ind
Who was president in 1913 ?,ind
When was the first kidney transplant ?,date
What are Canada 's two territories ?,other
What was the name of the plane Lindbergh flew solo across the Atlantic ?,veh
What is genocide ?,def
What continent is Argentina on ?,other
What monastery was raided by Vikings in the late eighth century ?,other
What is an earthquake ?,def
Where is the tallest roller coaster located ?,other
What are enzymes ?,def
Who discovered oxygen ?,ind
What is bangers and mash ?,def
What is the name given to the Tiger at Louisiana State University ?,animal
Where are the British crown jewels kept ?,other
Who was the first person to reach the North Pole ?,ind
What is an ulcer ?,def
What is vertigo ?,def
What is the spirometer test ?,def
When is the official first day of summer ?,date
What does the abbreviation SOS mean ?,exp
What is the smallest bird in Britain ?,animal
Who invented Trivial Pursuit ?,ind
What gasses are in the troposphere ?,substance
Which country has the most water pollution ?,country
What is the scientific name for elephant ?,animal
Who is the actress known for her role in the movie `` Gypsy '' ?,ind
What breed of hunting dog did the Beverly Hillbillies own ?,animal
What is the rainiest place on Earth ?,other
Who was the first African American to win the Nobel Prize in literature ?,ind
When is St. Patrick 's Day ?,date
What was FDR 's dog 's name ?,animal
What colors need to be mixed to get the color pink ?,color
What is the most popular sport in Japan ?,sport
What is the active ingredient in baking soda ?,food
When was Thomas Jefferson born ?,date
How cold should a refrigerator be ?,temp
When was the telephone invented ?,date
What is the most common eye color ?,color
Where was the first golf course in the United States ?,other
What is schizophrenia ?,def
What is angiotensin ?,def
What did Jesse Jackson organize ?,gr
What is New York 's state bird ?,animal
What is the National Park in Utah ?,other
What is Susan B. Anthony 's birthday ?,date
In which state would you find the Catskill Mountains ?,state
What do you call a word that is spelled the same backwards and forwards ?,termeq
What are pediatricians ?,def
"What chain store is headquartered in Bentonville , Arkansas ?",gr
What are solar cells ?,def
What is compounded interest ?,def
What are capers ?,def
What is an antigen ?,def
What currency does Luxembourg use ?,currency
What is the population of Venezuela ?,other
What type of polymer is used for bulletproof vests ?,other
What currency does Argentina use ?,currency
What is a thermometer ?,def
What Canadian city has the largest population ?,city
What color are crickets ?,color
Which country gave New York the Statue of Liberty ?,country
What was the name of the first U.S. satellite sent into space ?,product
What precious stone is a form of pure carbon ?,substance
What kind of gas is in a fluorescent bulb ?,substance
What is rheumatoid arthritis ?,def
"What river runs through Rowe , Italy ?",other
What is cerebral palsy ?,def
What city is also known as `` The Gateway to the West '' ?,city
How far away is the moon ?,dist
What is the source of natural gas ?,other
In what spacecraft did U.S. astronaut Alan Shepard make his historic 1961 flight ?,veh
What is pectin ?,def
What is bio-diversity ?,def
What 's the easiest way to remove wallpaper ?,techmeth
What year did the Titanic start on its journey ?,date
How much of an apple is water ?,count
Who was the 22nd President of the US ?,ind
What is the money they use in Zambia ?,currency
How many feet in a mile ?,count
What is the birthstone of October ?,substance
What is e-coli ?,def